"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Nov 06 16:21:28 UTC 2025","Thu Nov 06 16:21:34 UTC 2025","6046","","Login Tests","","tests.login.LoginTests","loginWithIncorrectPassword_showsError","Login with incorrect password shows error and stays on login page",""
"passed","Thu Nov 06 16:21:52 UTC 2025","Thu Nov 06 16:21:56 UTC 2025","4791","","Login Tests","","tests.login.LoginTests","loginFailsWithEmptyUsername_noTextCheck","Login fails with empty username shows error and stays on login page",""
"passed","Thu Nov 06 16:21:34 UTC 2025","Thu Nov 06 16:21:38 UTC 2025","3983","","Login Tests","","tests.login.LoginTests","openLoginPage_andVerifyFormVisible","Login page opens and form is visible",""
"passed","Thu Nov 06 16:22:06 UTC 2025","Thu Nov 06 16:22:11 UTC 2025","5360","","Login Tests","","tests.login.LoginTests","loginFailsWithBothEmpty_noTextCheck","Login fails with both fields empty shows error and stays on login page",""
"passed","Thu Nov 06 16:21:56 UTC 2025","Thu Nov 06 16:22:00 UTC 2025","3788","","Login Tests","","tests.login.LoginTests","rememberMeCheckboxToggles","'Remember me' checkbox toggles",""
"passed","Thu Nov 06 16:22:17 UTC 2025","Thu Nov 06 16:22:23 UTC 2025","5139","","Registration Tests","","tests.registration.RegistrationTests","registrationModalIsOpened","Check registration modsal is opened",""
"passed","Thu Nov 06 16:21:38 UTC 2025","Thu Nov 06 16:21:43 UTC 2025","4920","","Login Tests","","tests.login.LoginTests","loginFailsWithNonExistingUser_noTextCheck","Login fails with non-existing user shows error and stays on login page",""
"passed","Thu Nov 06 16:22:00 UTC 2025","Thu Nov 06 16:22:06 UTC 2025","5789","","Login Tests","","tests.login.LoginTests","loginFailsWithEmptyPassword_noTextCheck","Login fails with empty password shows error and stays on login page",""
"passed","Thu Nov 06 16:21:43 UTC 2025","Thu Nov 06 16:21:47 UTC 2025","3764","","Login Tests","","tests.login.LoginTests","passwordVisibilityToggle_works","Password visibility toggle switches between masked and visible",""
"passed","Thu Nov 06 16:22:11 UTC 2025","Thu Nov 06 16:22:17 UTC 2025","5598","","Login Tests","","tests.login.LoginTests","loginSuccess","Successful login with valid credentials",""
"failed","Thu Nov 06 16:21:47 UTC 2025","Thu Nov 06 16:21:52 UTC 2025","4633","","Login Tests","","tests.login.LoginTests","forgotPasswordLink_opensResetPage","'Forgot password' link opens the reset page and shows the form",""
