"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Nov 07 16:35:03 UTC 2025","Fri Nov 07 16:35:28 UTC 2025","24516","","Login Tests","","tests.login.LoginTests","loginFailsWithNonExistingUser_noTextCheck","Login fails with non-existing user shows error and stays on login page",""
"passed","Fri Nov 07 16:35:35 UTC 2025","Fri Nov 07 16:35:42 UTC 2025","6931","","Login Tests","","tests.login.LoginTests","forgotPasswordLink_opensResetPage","'Forgot password' link opens the reset page and shows the form",""
"passed","Fri Nov 07 16:36:48 UTC 2025","Fri Nov 07 16:36:53 UTC 2025","4710","","Registration Tests","","tests.registration.RegistrationTests","registrationModalIsOpened","Check registration modsal is opened",""
"broken","Fri Nov 07 16:33:38 UTC 2025","Fri Nov 07 16:34:39 UTC 2025","60372","","Login Tests","","tests.login.LoginTests","loginWithIncorrectPassword_showsError","Login with incorrect password shows error and stays on login page",""
"passed","Fri Nov 07 16:36:07 UTC 2025","Fri Nov 07 16:36:17 UTC 2025","9602","","tests.wishlist.WishlistGuestTests","","tests.wishlist.WishlistGuestTests","removeFromWishlist","Guest: Remove product from Wishlist page",""
"passed","Fri Nov 07 16:36:25 UTC 2025","Fri Nov 07 16:36:34 UTC 2025","9111","","tests.wishlist.WishlistGuestTests","","tests.wishlist.WishlistGuestTests","addMultipleProducts","Guest: Add two different products from Nuts to wishlist",""
"passed","Fri Nov 07 16:36:41 UTC 2025","Fri Nov 07 16:36:48 UTC 2025","6738","","tests.wishlist.WishlistGuestTests","","tests.wishlist.WishlistGuestTests","addProduct","Guest: Add first product from Nuts category to wishlist",""
"passed","Fri Nov 07 16:36:01 UTC 2025","Fri Nov 07 16:36:07 UTC 2025","5948","","Login Tests","","tests.login.LoginTests","loginSuccess","Successful login with valid credentials",""
"passed","Fri Nov 07 16:35:51 UTC 2025","Fri Nov 07 16:35:56 UTC 2025","4899","","Login Tests","","tests.login.LoginTests","loginFailsWithEmptyPassword_noTextCheck","Login fails with empty password shows error and stays on login page",""
"passed","Fri Nov 07 16:35:47 UTC 2025","Fri Nov 07 16:35:51 UTC 2025","3968","","Login Tests","","tests.login.LoginTests","rememberMeCheckboxToggles","'Remember me' checkbox toggles",""
"passed","Fri Nov 07 16:34:39 UTC 2025","Fri Nov 07 16:35:03 UTC 2025","24458","","Login Tests","","tests.login.LoginTests","openLoginPage_andVerifyFormVisible","Login page opens and form is visible",""
"passed","Fri Nov 07 16:36:34 UTC 2025","Fri Nov 07 16:36:41 UTC 2025","7058","","tests.wishlist.WishlistGuestTests","","tests.wishlist.WishlistGuestTests","openWishlistByClickingAgain","Guest: Clicking wishlist icon again opens Wishlist with the product present",""
"passed","Fri Nov 07 16:35:42 UTC 2025","Fri Nov 07 16:35:47 UTC 2025","5461","","Login Tests","","tests.login.LoginTests","loginFailsWithEmptyUsername_noTextCheck","Login fails with empty username shows error and stays on login page",""
"passed","Fri Nov 07 16:35:56 UTC 2025","Fri Nov 07 16:36:01 UTC 2025","4878","","Login Tests","","tests.login.LoginTests","loginFailsWithBothEmpty_noTextCheck","Login fails with both fields empty shows error and stays on login page",""
"passed","Fri Nov 07 16:36:17 UTC 2025","Fri Nov 07 16:36:25 UTC 2025","7906","","tests.wishlist.WishlistGuestTests","","tests.wishlist.WishlistGuestTests","persistsAfterRefresh","Guest: Wishlist persists after page refresh",""
"passed","Fri Nov 07 16:35:28 UTC 2025","Fri Nov 07 16:35:35 UTC 2025","6890","","Login Tests","","tests.login.LoginTests","passwordVisibilityToggle_works","Password visibility toggle switches between masked and visible",""
