"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Nov 24 13:56:53 UTC 2025","Mon Nov 24 13:56:58 UTC 2025","5706","","Check user registration functionality","","tests.registration.RegistrationTests","userRegistrationErrorValidation","User registration with incorrect email [2] INVALID_EMAIL_NO_AT",""
"passed","Mon Nov 24 13:51:12 UTC 2025","Mon Nov 24 13:51:19 UTC 2025","6443","","Shopping Bag Tests","","tests.shoppingBag.ShoppingBagTests","verifyNewUserSeesEmptyCart","New user sees empty cart",""
"passed","Mon Nov 24 13:37:11 UTC 2025","Mon Nov 24 13:37:18 UTC 2025","7100","","Account Details Tests","","tests.accountDetails.ProfileTests","emptyLastName","Empty Last Name Field",""
"passed","Mon Nov 24 13:52:32 UTC 2025","Mon Nov 24 13:52:41 UTC 2025","8757","","Wishlist tests (Guest)","","tests.wishlist.WishlistGuestTests","addMultipleProducts","Guest: Add two different products from Nuts to wishlist",""
"passed","Mon Nov 24 13:36:11 UTC 2025","Mon Nov 24 13:36:19 UTC 2025","7413","","Account Details Tests","","tests.accountDetails.ProfileTests","emptyDisplayName","Empty Display Name Field",""
"passed","Mon Nov 24 13:56:48 UTC 2025","Mon Nov 24 13:56:53 UTC 2025","5044","","Check user registration functionality","","tests.registration.RegistrationTests","userRegistrationErrorValidation","User registration with incorrect email [1] INVALID_EMAIL_EMPTY",""
"passed","Mon Nov 24 13:55:48 UTC 2025","Mon Nov 24 13:55:54 UTC 2025","5877","","Display of 'no results' message when no products found","","tests.search.SearchNoResultsTests","guest_no_results_message","Guest user: no results message appears for invalid query",""
"passed","Mon Nov 24 13:40:57 UTC 2025","Mon Nov 24 13:41:14 UTC 2025","17117","","Purchase Function Tests","","tests.purchaseFunction.PurchaseFunctionLoggedOutUserTests","verifyOrderDetails","Verify order details on Order Confirmation Page",""
"passed","Mon Nov 24 13:56:34 UTC 2025","Mon Nov 24 13:56:38 UTC 2025","4154","","Footer tests","","tests.footer.FooterTests","verifyFooterLinksOrder","ZIYAD-T60: Verify presence and order of footer links",""
"passed","Mon Nov 24 13:51:57 UTC 2025","Mon Nov 24 13:52:00 UTC 2025","3322","","Login Tests","","tests.login.LoginTests","rememberMeCheckboxToggles","'Remember me' checkbox toggles",""
