"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Nov 10 22:37:33 UTC 2025","Mon Nov 10 22:37:45 UTC 2025","11900","","Wishlist tests (Logged-in)","","tests.wishlist.WishlistLoggedInTests","openWishlistByClickingAgain","Logged-in: Clicking wishlist icon again opens Wishlist with product present",""
"passed","Mon Nov 10 22:35:16 UTC 2025","Mon Nov 10 22:35:25 UTC 2025","8764","","Shopping Bag tests","","tests.shoppingBag.ShoppingBagTests","addItemToShoppingBag","Add item to shopping bag",""
"passed","Mon Nov 10 22:35:30 UTC 2025","Mon Nov 10 22:35:33 UTC 2025","2927","","Login Tests","","tests.login.LoginTests","openLoginPage_andVerifyFormVisible","Login page opens and form is visible",""
"passed","Mon Nov 10 22:34:10 UTC 2025","Mon Nov 10 22:34:44 UTC 2025","33963","","Shopping Bag tests","","tests.shoppingBag.ShoppingBagTests","verifyInShoppingBagDisplay","Shopping cart display",""
"passed","Mon Nov 10 22:37:57 UTC 2025","Mon Nov 10 22:38:01 UTC 2025","4252","","Registration Tests","","tests.registration.RegistrationTests","registrationModalIsOpened","Check registration modsal is opened",""
"passed","Mon Nov 10 22:36:06 UTC 2025","Mon Nov 10 22:36:15 UTC 2025","9198","","Wishlist tests (Guest)","","tests.wishlist.WishlistGuestTests","removeFromWishlist","Guest: Remove product from Wishlist page",""
"passed","Mon Nov 10 22:35:48 UTC 2025","Mon Nov 10 22:35:51 UTC 2025","3052","","Login Tests","","tests.login.LoginTests","rememberMeCheckboxToggles","'Remember me' checkbox toggles",""
"passed","Mon Nov 10 22:35:51 UTC 2025","Mon Nov 10 22:35:56 UTC 2025","4228","","Login Tests","","tests.login.LoginTests","loginFailsWithEmptyPassword_noTextCheck","Login fails with empty password shows error and stays on login page",""
"passed","Mon Nov 10 22:36:58 UTC 2025","Mon Nov 10 22:37:17 UTC 2025","19651","","Wishlist tests (Logged-in)","","tests.wishlist.WishlistLoggedInTests","persistsAfterRelogin","Logged-in: Wishlist persists after re-login",""
"passed","Mon Nov 10 22:36:31 UTC 2025","Mon Nov 10 22:36:38 UTC 2025","6528","","Wishlist tests (Guest)","","tests.wishlist.WishlistGuestTests","openWishlistByClickingAgain","Guest: Clicking wishlist icon again opens Wishlist with the product present",""
"passed","Mon Nov 10 22:32:22 UTC 2025","Mon Nov 10 22:32:34 UTC 2025","11671","","Shopping Bag tests","","tests.shoppingBag.ShoppingBagTests","addItemAndVerifyQuantityInShoppingBag","Adding same product increases quantity",""
"passed","Mon Nov 10 22:34:44 UTC 2025","Mon Nov 10 22:34:57 UTC 2025","12946","","Shopping Bag tests","","tests.shoppingBag.ShoppingBagTests","editToShoppingBag","Edit shopping cart",""
"passed","Mon Nov 10 22:35:44 UTC 2025","Mon Nov 10 22:35:48 UTC 2025","4151","","Login Tests","","tests.login.LoginTests","loginFailsWithEmptyUsername_noTextCheck","Login fails with empty username shows error and stays on login page",""
"passed","Mon Nov 10 22:33:21 UTC 2025","Mon Nov 10 22:34:10 UTC 2025","49322","","Shopping Bag tests","","tests.shoppingBag.ShoppingBagTests","verifyPricesInProductAndInShoppingBag","Price check",""
"passed","Mon Nov 10 22:34:57 UTC 2025","Mon Nov 10 22:35:11 UTC 2025","13643","","Shopping Bag tests","","tests.shoppingBag.ShoppingBagTests","removeItemFromShoppingBag","Remove product from cart",""
"passed","Mon Nov 10 22:36:45 UTC 2025","Mon Nov 10 22:36:58 UTC 2025","13134","","Wishlist tests (Logged-in)","","tests.wishlist.WishlistLoggedInTests","removeFromWishlist","Logged-in: Remove product from Wishlist page",""
"passed","Mon Nov 10 22:32:10 UTC 2025","Mon Nov 10 22:32:22 UTC 2025","12721","","Shopping Bag tests","","tests.shoppingBag.ShoppingBagTests","verifyShoppingBagAfterReload","Shopping cart persists after page reload",""
"passed","Mon Nov 10 22:35:40 UTC 2025","Mon Nov 10 22:35:44 UTC 2025","3956","","Login Tests","","tests.login.LoginTests","forgotPasswordLink_opensResetPage","'Forgot password' link opens the reset page and shows the form",""
"passed","Mon Nov 10 22:31:58 UTC 2025","Mon Nov 10 22:32:10 UTC 2025","11868","","Shopping Bag tests","","tests.shoppingBag.ShoppingBagTests","hoverToShoppingBag","Hovering over the cart icon, a quick view of the cart contents is displayed",""
"passed","Mon Nov 10 22:35:11 UTC 2025","Mon Nov 10 22:35:16 UTC 2025","5628","","Shopping Bag tests","","tests.shoppingBag.ShoppingBagTests","verifyNewUserSeesEmptyCart","New user sees empty cart",""
"passed","Mon Nov 10 22:36:15 UTC 2025","Mon Nov 10 22:36:23 UTC 2025","7693","","Wishlist tests (Guest)","","tests.wishlist.WishlistGuestTests","persistsAfterRefresh","Guest: Wishlist persists after page refresh",""
"passed","Mon Nov 10 22:37:17 UTC 2025","Mon Nov 10 22:37:33 UTC 2025","15639","","Wishlist tests (Logged-in)","","tests.wishlist.WishlistLoggedInTests","addMultipleProducts","Logged-in: Add two products to wishlist",""
"passed","Mon Nov 10 22:35:37 UTC 2025","Mon Nov 10 22:35:40 UTC 2025","3084","","Login Tests","","tests.login.LoginTests","passwordVisibilityToggle_works","Password visibility toggle switches between masked and visible",""
"passed","Mon Nov 10 22:31:44 UTC 2025","Mon Nov 10 22:31:58 UTC 2025","13922","","Shopping Bag tests","","tests.shoppingBag.ShoppingBagTests","removeProductFromShoppingBagWithCounter","Remove product from cart with counter",""
"passed","Mon Nov 10 22:35:26 UTC 2025","Mon Nov 10 22:35:30 UTC 2025","4344","","Login Tests","","tests.login.LoginTests","loginWithIncorrectPassword_showsError","Login with incorrect password shows error and stays on login page",""
"passed","Mon Nov 10 22:37:45 UTC 2025","Mon Nov 10 22:37:56 UTC 2025","11401","","Wishlist tests (Logged-in)","","tests.wishlist.WishlistLoggedInTests","addProduct","Logged-in: Add one product from Nuts to wishlist",""
"passed","Mon Nov 10 22:36:23 UTC 2025","Mon Nov 10 22:36:31 UTC 2025","8508","","Wishlist tests (Guest)","","tests.wishlist.WishlistGuestTests","addMultipleProducts","Guest: Add two different products from Nuts to wishlist",""
"passed","Mon Nov 10 22:32:34 UTC 2025","Mon Nov 10 22:32:58 UTC 2025","24428","","Shopping Bag tests","","tests.shoppingBag.ShoppingBagTests","verifyShoppingBagAfterReLogin","Shopping cart persists after logout/login (logged-in users)",""
"passed","Mon Nov 10 22:35:56 UTC 2025","Mon Nov 10 22:36:00 UTC 2025","4388","","Login Tests","","tests.login.LoginTests","loginFailsWithBothEmpty_noTextCheck","Login fails with both fields empty shows error and stays on login page",""
"passed","Mon Nov 10 22:36:38 UTC 2025","Mon Nov 10 22:36:44 UTC 2025","6327","","Wishlist tests (Guest)","","tests.wishlist.WishlistGuestTests","addProduct","Guest: Add first product from Nuts category to wishlist",""
"passed","Mon Nov 10 22:33:10 UTC 2025","Mon Nov 10 22:33:21 UTC 2025","10630","","Shopping Bag tests","","tests.shoppingBag.ShoppingBagTests","addItemToShoppingBagAndVerifyItemsCount","Shopping cart icon shows correct item count",""
"passed","Mon Nov 10 22:36:00 UTC 2025","Mon Nov 10 22:36:06 UTC 2025","5505","","Login Tests","","tests.login.LoginTests","loginSuccess","Successful login with valid credentials",""
"passed","Mon Nov 10 22:32:58 UTC 2025","Mon Nov 10 22:33:10 UTC 2025","11780","","Shopping Bag tests","","tests.shoppingBag.ShoppingBagTests","verifyEmptyCartMessage","Empty cart message",""
"passed","Mon Nov 10 22:35:33 UTC 2025","Mon Nov 10 22:35:37 UTC 2025","4256","","Login Tests","","tests.login.LoginTests","loginFailsWithNonExistingUser_noTextCheck","Login fails with non-existing user shows error and stays on login page",""
