"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Nov 17 21:44:35 UTC 2025","Mon Nov 17 21:44:40 UTC 2025","5017","","tests.registration.RegistrationTests","","tests.registration.RegistrationTests","userRegistrationErrorValidation","User registration with incorrect email [1] INVALID_EMAIL_EMPTY",""
"passed","Mon Nov 17 21:44:55 UTC 2025","Mon Nov 17 21:45:00 UTC 2025","5292","","tests.registration.RegistrationTests","","tests.registration.RegistrationTests","userRegistrationErrorValidation","User registration with incorrect email [5] INVALID_EMAIL_SPACES",""
"passed","Mon Nov 17 21:40:00 UTC 2025","Mon Nov 17 21:40:07 UTC 2025","6301","","Login Tests","","tests.login.LoginTests","passwordVisibilityToggle_works","Password visibility toggle switches between masked and visible",""
"passed","Mon Nov 17 21:44:01 UTC 2025","Mon Nov 17 21:44:08 UTC 2025","6306","","Display of 'no results' message when no products found","","tests.search.SearchNoResultsTests","guest_no_results_message","Guest user: no results message appears for invalid query",""
"passed","Mon Nov 17 21:44:17 UTC 2025","Mon Nov 17 21:44:28 UTC 2025","10091","","Search with Enter key","","tests.search.SearchEnterTests","loggedin_enter_triggers_search","Logged-in user: pressing Enter triggers search and displays results",""
"passed","Mon Nov 17 21:44:08 UTC 2025","Mon Nov 17 21:44:17 UTC 2025","9431","","Display of 'no results' message when no products found","","tests.search.SearchNoResultsTests","loggedin_no_results_message","Logged-in user: no results message appears for invalid query",""
"passed","Mon Nov 17 21:36:25 UTC 2025","Mon Nov 17 21:36:36 UTC 2025","11246","","Shopping Bag tests","","tests.shoppingBag.ShoppingBagTests","addItemToShoppingBagAndVerifyItemsCount","Shopping cart icon shows correct item count",""
"passed","Mon Nov 17 21:42:14 UTC 2025","Mon Nov 17 21:42:25 UTC 2025","11583","","Wishlist tests (Logged-in)","","tests.wishlist.WishlistLoggedInTests","addProduct","Logged-in: Add one product from Nuts to wishlist",""
"passed","Mon Nov 17 21:36:36 UTC 2025","Mon Nov 17 21:37:28 UTC 2025","52410","","Shopping Bag tests","","tests.shoppingBag.ShoppingBagTests","verifyPricesInProductAndInShoppingBag","Price check",""
"passed","Mon Nov 17 21:38:39 UTC 2025","Mon Nov 17 21:38:53 UTC 2025","13558","","Shopping Bag tests","","tests.shoppingBag.ShoppingBagTests","editToShoppingBag","Edit shopping cart",""
"passed","Mon Nov 17 21:40:11 UTC 2025","Mon Nov 17 21:40:15 UTC 2025","4613","","Login Tests","","tests.login.LoginTests","loginFailsWithEmptyUsername_noTextCheck","Login fails with empty username shows error and stays on login page",""
"passed","Mon Nov 17 21:42:02 UTC 2025","Mon Nov 17 21:42:14 UTC 2025","12240","","Wishlist tests (Logged-in)","","tests.wishlist.WishlistLoggedInTests","openWishlistByClickingAgain","Logged-in: Clicking wishlist icon again opens Wishlist with product present",""
"passed","Mon Nov 17 21:44:28 UTC 2025","Mon Nov 17 21:44:34 UTC 2025","6574","","Search with Enter key","","tests.search.SearchEnterTests","guest_enter_triggers_search","Guest user: pressing Enter triggers search and displays results",""
"passed","Mon Nov 17 21:39:26 UTC 2025","Mon Nov 17 21:39:33 UTC 2025","6735","","Shopping Bag tests","","tests.shoppingBag.ShoppingBagTests","verifyNewUserSeesEmptyCart","New user sees empty cart",""
"passed","Mon Nov 17 21:41:13 UTC 2025","Mon Nov 17 21:41:27 UTC 2025","13538","","Wishlist tests (Logged-in)","","tests.wishlist.WishlistLoggedInTests","removeFromWishlist","Logged-in: Remove product from Wishlist page",""
"passed","Mon Nov 17 21:44:45 UTC 2025","Mon Nov 17 21:44:50 UTC 2025","5234","","tests.registration.RegistrationTests","","tests.registration.RegistrationTests","userRegistrationErrorValidation","User registration with incorrect email [3] INVALID_EMAIL_NO_DOMAIN",""
"passed","Mon Nov 17 21:40:23 UTC 2025","Mon Nov 17 21:40:27 UTC 2025","4483","","Login Tests","","tests.login.LoginTests","loginFailsWithBothEmpty_noTextCheck","Login fails with both fields empty shows error and stays on login page",""
"passed","Mon Nov 17 21:44:40 UTC 2025","Mon Nov 17 21:44:45 UTC 2025","4994","","tests.registration.RegistrationTests","","tests.registration.RegistrationTests","userRegistrationErrorValidation","User registration with incorrect email [2] INVALID_EMAIL_NO_AT",""
"passed","Mon Nov 17 21:40:33 UTC 2025","Mon Nov 17 21:40:42 UTC 2025","9332","","Wishlist tests (Guest)","","tests.wishlist.WishlistGuestTests","removeFromWishlist","Guest: Remove product from Wishlist page",""
"passed","Mon Nov 17 21:40:18 UTC 2025","Mon Nov 17 21:40:23 UTC 2025","4406","","Login Tests","","tests.login.LoginTests","loginFailsWithEmptyPassword_noTextCheck","Login fails with empty password shows error and stays on login page",""
"passed","Mon Nov 17 21:39:56 UTC 2025","Mon Nov 17 21:40:00 UTC 2025","4598","","Login Tests","","tests.login.LoginTests","loginFailsWithNonExistingUser","Login with non-existing user shows error and stays on login page",""
"passed","Mon Nov 17 21:43:42 UTC 2025","Mon Nov 17 21:43:50 UTC 2025","7505","","Predictive search dropdown behavior","","tests.search.SearchAutocompleteTests","guest_predictive_dropdown","Guest user: predictive dropdown appears after typing 3+ characters",""
"passed","Mon Nov 17 21:41:06 UTC 2025","Mon Nov 17 21:41:13 UTC 2025","6617","","Wishlist tests (Guest)","","tests.wishlist.WishlistGuestTests","addProduct","Guest: Add first product from Nuts category to wishlist",""
"passed","Mon Nov 17 21:42:47 UTC 2025","Mon Nov 17 21:42:56 UTC 2025","8936","","Search results display","","tests.search.SearchResultsTests","search_existing_guest","Guest user: search for existing product shows results",""
"passed","Mon Nov 17 21:41:27 UTC 2025","Mon Nov 17 21:41:46 UTC 2025","19457","","Wishlist tests (Logged-in)","","tests.wishlist.WishlistLoggedInTests","persistsAfterRelogin","Logged-in: Wishlist persists after re-login",""
"passed","Mon Nov 17 21:43:50 UTC 2025","Mon Nov 17 21:44:01 UTC 2025","11165","","Predictive search dropdown behavior","","tests.search.SearchAutocompleteTests","loggedin_predictive_dropdown","Logged-in user: predictive dropdown appears after typing 3+ characters",""
"passed","Mon Nov 17 21:39:33 UTC 2025","Mon Nov 17 21:39:42 UTC 2025","9130","","Shopping Bag tests","","tests.shoppingBag.ShoppingBagTests","addItemToShoppingBag","Add item to shopping bag",""
"passed","Mon Nov 17 21:42:34 UTC 2025","Mon Nov 17 21:42:47 UTC 2025","12390","","Open correct PDP from search results","","tests.search.SearchPdpNavigationTests","loggedin_click_opens_correct_pdp","Logged-in user: first search result opens correct PDP",""
"passed","Mon Nov 17 21:39:48 UTC 2025","Mon Nov 17 21:39:53 UTC 2025","4659","","Login Tests","","tests.login.LoginTests","loginWithIncorrectPassword_showsError","Login with incorrect password shows error and stays on login page",""
"passed","Mon Nov 17 21:42:56 UTC 2025","Mon Nov 17 21:43:42 UTC 2025","45603","","Search results display","","tests.search.SearchResultsTests","search_existing_loggedIn","Logged-in user: search for existing product shows results",""
"passed","Mon Nov 17 21:35:20 UTC 2025","Mon Nov 17 21:35:34 UTC 2025","13390","","Shopping Bag tests","","tests.shoppingBag.ShoppingBagTests","verifyShoppingBagAfterReload","Shopping cart persists after page reload",""
"passed","Mon Nov 17 21:40:50 UTC 2025","Mon Nov 17 21:40:59 UTC 2025","8859","","Wishlist tests (Guest)","","tests.wishlist.WishlistGuestTests","addMultipleProducts","Guest: Add two different products from Nuts to wishlist",""
"passed","Mon Nov 17 21:40:07 UTC 2025","Mon Nov 17 21:40:11 UTC 2025","3956","","Login Tests","","tests.login.LoginTests","forgotPasswordLink_opensResetPage","'Forgot password' link opens the reset page and shows the form",""
"passed","Mon Nov 17 21:38:04 UTC 2025","Mon Nov 17 21:38:39 UTC 2025","35262","","Shopping Bag tests","","tests.shoppingBag.ShoppingBagTests","verifyInShoppingBagDisplay","Shopping cart display",""
"passed","Mon Nov 17 21:40:42 UTC 2025","Mon Nov 17 21:40:50 UTC 2025","8576","","Wishlist tests (Guest)","","tests.wishlist.WishlistGuestTests","persistsAfterRefresh","Guest: Wishlist persists after page refresh",""
"passed","Mon Nov 17 21:35:09 UTC 2025","Mon Nov 17 21:35:20 UTC 2025","11476","","Shopping Bag tests","","tests.shoppingBag.ShoppingBagTests","hoverToShoppingBag","Hovering over the cart icon, a quick view of the cart contents is displayed",""
"passed","Mon Nov 17 21:41:46 UTC 2025","Mon Nov 17 21:42:02 UTC 2025","15530","","Wishlist tests (Logged-in)","","tests.wishlist.WishlistLoggedInTests","addMultipleProducts","Logged-in: Add two products to wishlist",""
"passed","Mon Nov 17 21:39:53 UTC 2025","Mon Nov 17 21:39:56 UTC 2025","3130","","Login Tests","","tests.login.LoginTests","openLoginPage_andVerifyFormVisible","Login page opens and form is visible",""
"passed","Mon Nov 17 21:40:15 UTC 2025","Mon Nov 17 21:40:18 UTC 2025","3182","","Login Tests","","tests.login.LoginTests","rememberMeCheckboxToggles","'Remember me' checkbox toggles",""
"passed","Mon Nov 17 21:42:26 UTC 2025","Mon Nov 17 21:42:34 UTC 2025","8458","","Open correct PDP from search results","","tests.search.SearchPdpNavigationTests","guest_click_opens_correct_pdp","Guest user: first search result opens correct PDP",""
"passed","Mon Nov 17 21:36:13 UTC 2025","Mon Nov 17 21:36:25 UTC 2025","12031","","Shopping Bag tests","","tests.shoppingBag.ShoppingBagTests","verifyEmptyCartMessage","Empty cart message",""
"passed","Mon Nov 17 21:38:53 UTC 2025","Mon Nov 17 21:39:07 UTC 2025","14335","","Shopping Bag tests","","tests.shoppingBag.ShoppingBagTests","removeItemFromShoppingBag","Remove product from cart",""
"passed","Mon Nov 17 21:37:28 UTC 2025","Mon Nov 17 21:38:04 UTC 2025","35825","","Shopping Bag tests","","tests.shoppingBag.ShoppingBagTests","verifyTotalCalculationInShoppingBag","Correct total calculation",""
"passed","Mon Nov 17 21:39:07 UTC 2025","Mon Nov 17 21:39:26 UTC 2025","18944","","Shopping Bag tests","","tests.shoppingBag.ShoppingBagTests","returnItemToShoppingBag","Return item to cart after removing",""
"passed","Mon Nov 17 21:35:34 UTC 2025","Mon Nov 17 21:35:46 UTC 2025","12516","","Shopping Bag tests","","tests.shoppingBag.ShoppingBagTests","addItemAndVerifyQuantityInShoppingBag","Adding same product increases quantity",""
"passed","Mon Nov 17 21:34:51 UTC 2025","Mon Nov 17 21:35:09 UTC 2025","17399","","Shopping Bag tests","","tests.shoppingBag.ShoppingBagTests","removeProductFromShoppingBagWithCounter","Remove product from cart with counter",""
"passed","Mon Nov 17 21:35:46 UTC 2025","Mon Nov 17 21:36:13 UTC 2025","26281","","Shopping Bag tests","","tests.shoppingBag.ShoppingBagTests","verifyShoppingBagAfterReLogin","Shopping cart persists after logout/login (logged-in users)",""
"passed","Mon Nov 17 21:40:27 UTC 2025","Mon Nov 17 21:40:32 UTC 2025","4804","","Login Tests","","tests.login.LoginTests","loginSuccess","Successful login with valid credentials",""
"passed","Mon Nov 17 21:40:59 UTC 2025","Mon Nov 17 21:41:06 UTC 2025","6808","","Wishlist tests (Guest)","","tests.wishlist.WishlistGuestTests","openWishlistByClickingAgain","Guest: Clicking wishlist icon again opens Wishlist with the product present",""
