"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Nov 24 11:01:38 UTC 2025","Mon Nov 24 11:01:53 UTC 2025","15073","","Shopping Bag tests","","tests.shoppingBag.ShoppingBagTests","removeProductFromShoppingBagWithCounter","Remove product from cart with counter",""
"passed","Mon Nov 24 11:01:53 UTC 2025","Mon Nov 24 11:02:05 UTC 2025","11991","","Shopping Bag tests","","tests.shoppingBag.ShoppingBagTests","hoverToShoppingBag","Hovering over the cart icon, a quick view of the cart contents is displayed",""
"passed","Mon Nov 24 11:11:11 UTC 2025","Mon Nov 24 11:11:17 UTC 2025","5132","","Footer tests","","tests.footer.FooterTests","verifyFooterConsistency","ZIYAD-T65: Verify footer consistency across pages",""
"passed","Mon Nov 24 11:05:16 UTC 2025","Mon Nov 24 11:05:29 UTC 2025","13026","","Shopping Bag tests","","tests.shoppingBag.ShoppingBagTests","editToShoppingBag","Edit shopping cart",""
"passed","Mon Nov 24 11:08:47 UTC 2025","Mon Nov 24 11:08:55 UTC 2025","7562","","Open correct PDP from search results","","tests.search.SearchPdpNavigationTests","guest_click_opens_correct_pdp","Guest user: first search result opens correct PDP",""
"passed","Mon Nov 24 11:06:53 UTC 2025","Mon Nov 24 11:06:57 UTC 2025","4020","","Login Tests","","tests.login.LoginTests","loginFailsWithBothEmpty_noTextCheck","Login fails with both fields empty shows error and stays on login page",""
"passed","Mon Nov 24 11:11:25 UTC 2025","Mon Nov 24 11:11:30 UTC 2025","4635","","Check user registration functionality","","tests.registration.RegistrationTests","userRegistrationErrorValidation","User registration with incorrect email [2] INVALID_EMAIL_NO_AT",""
"passed","Mon Nov 24 10:58:39 UTC 2025","Mon Nov 24 10:58:46 UTC 2025","6808","","Account Details Tests","","tests.accountDetails.ProfileTests","emptyDisplayName","Empty Display Name Field",""
"passed","Mon Nov 24 11:03:16 UTC 2025","Mon Nov 24 11:04:06 UTC 2025","49868","","Shopping Bag tests","","tests.shoppingBag.ShoppingBagTests","verifyPricesInProductAndInShoppingBag","Price check",""
"passed","Mon Nov 24 11:11:30 UTC 2025","Mon Nov 24 11:11:35 UTC 2025","4640","","Check user registration functionality","","tests.registration.RegistrationTests","userRegistrationErrorValidation","User registration with incorrect email [3] INVALID_EMAIL_NO_DOMAIN",""
"passed","Mon Nov 24 10:59:21 UTC 2025","Mon Nov 24 10:59:28 UTC 2025","6987","","Account Details Tests","","tests.accountDetails.ProfileTests","trimEmail","Trim Email",""
"passed","Mon Nov 24 11:00:27 UTC 2025","Mon Nov 24 11:00:34 UTC 2025","7167","","Account Details Tests","","tests.accountDetails.ProfileTests","validLastName","Valid Last Name",""
"passed","Mon Nov 24 11:05:29 UTC 2025","Mon Nov 24 11:05:44 UTC 2025","15009","","Shopping Bag tests","","tests.shoppingBag.ShoppingBagTests","removeItemFromShoppingBag","Remove product from cart",""
"passed","Mon Nov 24 11:07:17 UTC 2025","Mon Nov 24 11:07:26 UTC 2025","8130","","Wishlist tests (Guest)","","tests.wishlist.WishlistGuestTests","addMultipleProducts","Guest: Add two different products from Nuts to wishlist",""
"passed","Mon Nov 24 10:59:07 UTC 2025","Mon Nov 24 10:59:14 UTC 2025","6926","","Account Details Tests","","tests.accountDetails.ProfileTests","charsInDisplayName","Special characters in Display Name",""
"passed","Mon Nov 24 11:10:24 UTC 2025","Mon Nov 24 11:10:29 UTC 2025","5469","","Display of 'no results' message when no products found","","tests.search.SearchNoResultsTests","guest_no_results_message","Guest user: no results message appears for invalid query",""
"passed","Mon Nov 24 11:06:31 UTC 2025","Mon Nov 24 11:06:35 UTC 2025","4199","","Login Tests","","tests.login.LoginTests","loginFailsWithNonExistingUser","Login with non-existing user shows error and stays on login page",""
"passed","Mon Nov 24 11:10:29 UTC 2025","Mon Nov 24 11:10:41 UTC 2025","11950","","Display of 'no results' message when no products found","","tests.search.SearchNoResultsTests","loggedin_no_results_message","Logged-in user: no results message appears for invalid query",""
"passed","Mon Nov 24 11:01:26 UTC 2025","Mon Nov 24 11:01:37 UTC 2025","10779","","Check change password functionality","","tests.changePassword.ChangePasswordTests","changePasswordSuccessful","Successful changing of user password",""
"passed","Mon Nov 24 11:05:44 UTC 2025","Mon Nov 24 11:06:03 UTC 2025","18763","","Shopping Bag tests","","tests.shoppingBag.ShoppingBagTests","returnItemToShoppingBag","Return item to cart after removing",""
"passed","Mon Nov 24 11:06:41 UTC 2025","Mon Nov 24 11:06:46 UTC 2025","4045","","Login Tests","","tests.login.LoginTests","loginFailsWithEmptyUsername_noTextCheck","Login fails with empty username shows error and stays on login page",""
