"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"UI Tests","Purchase Function","Logged Out User Order Placement","0","1","15","0","0"
"UI Tests","User Registration","","0","0","11","0","0"
"UI Tests","Shopping Bag","Shopping Bag Management by Users","0","0","16","0","0"
"UI Tests","Account Details","","0","0","17","4","0"
"UI Tests","Wishlist","","0","0","10","0","0"
"UI Tests","Search","","0","0","10","0","0"
"UI Tests","Logout Functionality","","0","0","2","0","0"
"UI Tests","Login Functionality","","0","0","10","0","0"
"UI Tests","Footer","Footer functionality","0","0","4","0","0"
"UI Tests","Purchase Function","Logged In User Order Placement","0","0","9","2","0"
"ZIYAD-24 Language selector","AC1: visibility in header","","0","0","1","0","0"
"ZIYAD-24 Language selector","AC2: selector options","","0","0","1","0","0"
"ZIYAD-24 Language selector","AC3: UI text changes to selected language","","0","0","1","0","0"
