"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Nov 24 12:45:12 UTC 2025","Mon Nov 24 12:45:19 UTC 2025","7465","","Account Details Tests","","tests.accountDetails.ProfileTests","trimDisplayName","Trim Display Name",""
"skipped","Mon Nov 24 12:55:04 UTC 2025","Mon Nov 24 12:55:04 UTC 2025","0","","Purchase Function Tests","","tests.purchaseFunction.PurchaseFunctionLoggedInUserTests","createOrderWithIncorrectNameWithDigits","Unsuccessful order creation with incorrect Name with digits",""
"passed","Mon Nov 24 12:58:07 UTC 2025","Mon Nov 24 12:58:42 UTC 2025","34677","","Shopping Bag Tests","","tests.shoppingBag.ShoppingBagTests","verifyInShoppingBagDisplay","Shopping cart display",""
"passed","Mon Nov 24 12:51:28 UTC 2025","Mon Nov 24 12:51:40 UTC 2025","12222","","Purchase Function Tests","","tests.purchaseFunction.PurchaseFunctionLoggedOutUserTests","validateEachRequiredField","Validate required field and its alert message [4] //input[@name='billing_address_1'], Rechnung: Straße ist ein Pflichtfeld.",""
"passed","Mon Nov 24 13:00:30 UTC 2025","Mon Nov 24 13:00:38 UTC 2025","8314","","Wishlist tests (Guest)","","tests.wishlist.WishlistGuestTests","removeFromWishlist","Guest: Remove product from Wishlist page",""
"passed","Mon Nov 24 12:51:53 UTC 2025","Mon Nov 24 12:52:06 UTC 2025","12891","","Purchase Function Tests","","tests.purchaseFunction.PurchaseFunctionLoggedOutUserTests","validateEachRequiredField","Validate required field and its alert message [6] //input[@name='billing_city'], Rechnung: Ort / Stadt ist ein Pflichtfeld.",""
"passed","Mon Nov 24 12:53:27 UTC 2025","Mon Nov 24 12:53:44 UTC 2025","16755","","Purchase Function Tests","","tests.purchaseFunction.PurchaseFunctionLoggedInUserTests","createOrderWithIncorrectPhoneNumber","Unsuccessful order creation with incorrect Phone number",""
"passed","Mon Nov 24 13:04:00 UTC 2025","Mon Nov 24 13:04:07 UTC 2025","6947","","Display of 'no results' message when no products found","","tests.search.SearchNoResultsTests","guest_no_results_message","Guest user: no results message appears for invalid query",""
"passed","Mon Nov 24 13:04:46 UTC 2025","Mon Nov 24 13:04:50 UTC 2025","4196","","Footer tests","","tests.footer.FooterTests","verifyFooterLinksOrder","ZIYAD-T60: Verify presence and order of footer links",""
"passed","Mon Nov 24 13:01:08 UTC 2025","Mon Nov 24 13:01:21 UTC 2025","13118","","Wishlist tests (Logged-in)","","tests.wishlist.WishlistLoggedInTests","removeFromWishlist","Logged-in: Remove product from Wishlist page",""
"passed","Mon Nov 24 12:55:04 UTC 2025","Mon Nov 24 12:55:19 UTC 2025","14947","","Shopping Bag Tests","","tests.shoppingBag.ShoppingBagTests","removeProductFromShoppingBagWithCounter","Remove product from cart with counter",""
"passed","Mon Nov 24 12:52:33 UTC 2025","Mon Nov 24 12:52:56 UTC 2025","22152","","Purchase Function Tests","","tests.purchaseFunction.PurchaseFunctionLoggedInUserTests","verifyShoppingBagClearedAfterOrderCreation","Cart cleared after successful order placement",""
"passed","Mon Nov 24 12:48:47 UTC 2025","Mon Nov 24 12:48:58 UTC 2025","10812","","Purchase Function Tests","","tests.purchaseFunction.PurchaseFunctionLoggedOutUserTests","proceedToCheckoutFromShoppingBag","Proceed to checkout from shopping bag page",""
"passed","Mon Nov 24 13:05:17 UTC 2025","Mon Nov 24 13:05:22 UTC 2025","4885","","Check user registration functionality","","tests.registration.RegistrationTests","userRegistrationErrorValidation","User registration with incorrect email [4] INVALID_EMAIL_NO_USERNAME",""
"passed","Mon Nov 24 12:50:50 UTC 2025","Mon Nov 24 12:51:03 UTC 2025","13251","","Purchase Function Tests","","tests.purchaseFunction.PurchaseFunctionLoggedOutUserTests","validateEachRequiredField","Validate required field and its alert message [1] //input[@name='billing_email'], Rechnung: E-Mail-Adresse ist ein Pflichtfeld.",""
"broken","Mon Nov 24 13:09:09 UTC 2025","Mon Nov 24 13:09:44 UTC 2025","35418","","Check change password functionality","","tests.changePassword.ChangePasswordTests","changePasswordWithIncorrectPasswordConfirmation","Check error message when password confirmation is wrong",""
"passed","Mon Nov 24 13:05:12 UTC 2025","Mon Nov 24 13:05:17 UTC 2025","4917","","Check user registration functionality","","tests.registration.RegistrationTests","userRegistrationErrorValidation","User registration with incorrect email [3] INVALID_EMAIL_NO_DOMAIN",""
"passed","Mon Nov 24 12:44:19 UTC 2025","Mon Nov 24 12:44:26 UTC 2025","7435","","Account Details Tests","","tests.accountDetails.ProfileTests","validDisplayName","Valid Display Name",""
"passed","Mon Nov 24 12:44:11 UTC 2025","Mon Nov 24 12:44:19 UTC 2025","7561","","Account Details Tests","","tests.accountDetails.ProfileTests","trimEmail","Trim Email",""
"passed","Mon Nov 24 12:59:25 UTC 2025","Mon Nov 24 12:59:32 UTC 2025","6400","","Shopping Bag Tests","","tests.shoppingBag.ShoppingBagTests","verifyNewUserSeesEmptyCart","New user sees empty cart",""
"passed","Mon Nov 24 13:00:07 UTC 2025","Mon Nov 24 13:00:12 UTC 2025","4461","","Login Tests","","tests.login.LoginTests","loginFailsWithEmptyUsername_noTextCheck","Login fails with empty username shows error and stays on login page",""
"passed","Mon Nov 24 12:45:05 UTC 2025","Mon Nov 24 12:45:12 UTC 2025","6529","","Account Details Tests","","tests.accountDetails.ProfileTests","invalidEmailFormat","Invalid email format",""
"passed","Mon Nov 24 12:49:14 UTC 2025","Mon Nov 24 12:49:20 UTC 2025","5525","","Purchase Function Tests","","tests.purchaseFunction.PurchaseFunctionLoggedOutUserTests","proceedWithEmptyCart","Cannot proceed with empty cart",""
"passed","Mon Nov 24 13:05:36 UTC 2025","Mon Nov 24 13:05:42 UTC 2025","6897","","Check user registration functionality","","tests.registration.RegistrationTests","tryAlreadyRegisteredUser","User registration with already existed email",""
"skipped","Mon Nov 24 12:54:43 UTC 2025","Mon Nov 24 12:54:43 UTC 2025","0","","Purchase Function Tests","","tests.purchaseFunction.PurchaseFunctionLoggedInUserTests","createOrderWithIncorrectNameWithSpecialCharacters","Unsuccessful order creation with incorrect Name with special characters",""
