"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Nov 23 18:50:55 UTC 2025","Sun Nov 23 18:50:59 UTC 2025","3561","","Login Tests","","tests.login.LoginTests","openLoginPage_andVerifyFormVisible","Login page opens and form is visible",""
"passed","Sun Nov 23 18:45:19 UTC 2025","Sun Nov 23 18:45:29 UTC 2025","9544","","Check change password functionality","","tests.changePassword.ChangePasswordTests","changePasswordWithIncorrectPasswordConfirmation","Check error message when password confirmation is wrong",""
"passed","Sun Nov 23 18:54:01 UTC 2025","Sun Nov 23 18:54:11 UTC 2025","10285","","Search results display","","tests.search.SearchResultsTests","search_existing_guest","Guest user: search for existing product shows results",""
"passed","Sun Nov 23 18:51:56 UTC 2025","Sun Nov 23 18:52:05 UTC 2025","9520","","Wishlist tests (Guest)","","tests.wishlist.WishlistGuestTests","addMultipleProducts","Guest: Add two different products from Nuts to wishlist",""
"passed","Sun Nov 23 18:52:20 UTC 2025","Sun Nov 23 18:52:34 UTC 2025","13609","","Wishlist tests (Logged-in)","","tests.wishlist.WishlistLoggedInTests","removeFromWishlist","Logged-in: Remove product from Wishlist page",""
"passed","Sun Nov 23 18:54:57 UTC 2025","Sun Nov 23 18:55:05 UTC 2025","8168","","Predictive search dropdown behavior","","tests.search.SearchAutocompleteTests","guest_predictive_dropdown","Guest user: predictive dropdown appears after typing 3+ characters",""
"passed","Sun Nov 23 18:47:29 UTC 2025","Sun Nov 23 18:48:22 UTC 2025","53324","","Shopping Bag tests","","tests.shoppingBag.ShoppingBagTests","verifyPricesInProductAndInShoppingBag","Price check",""
"passed","Sun Nov 23 18:45:41 UTC 2025","Sun Nov 23 18:45:58 UTC 2025","16341","","Shopping Bag tests","","tests.shoppingBag.ShoppingBagTests","removeProductFromShoppingBagWithCounter","Remove product from cart with counter",""
"passed","Sun Nov 23 18:55:27 UTC 2025","Sun Nov 23 18:55:39 UTC 2025","12641","","Display of 'no results' message when no products found","","tests.search.SearchNoResultsTests","loggedin_no_results_message","Logged-in user: no results message appears for invalid query",""
"passed","Sun Nov 23 18:44:47 UTC 2025","Sun Nov 23 18:45:00 UTC 2025","12329","","Logout Tests","","tests.logout.LogoutTests","logoutFromHeaderDropdown_showsLoginForm","Logout from header dropdown shows login/register form",""
"passed","Sun Nov 23 18:51:37 UTC 2025","Sun Nov 23 18:51:47 UTC 2025","10180","","Wishlist tests (Guest)","","tests.wishlist.WishlistGuestTests","removeFromWishlist","Guest: Remove product from Wishlist page",""
"passed","Sun Nov 23 18:44:07 UTC 2025","Sun Nov 23 18:44:13 UTC 2025","6748","","Account Details Tests","","tests.accountDetails.ProfileTests","invalidEmailFormat","Invalid email format",""
"passed","Sun Nov 23 18:50:50 UTC 2025","Sun Nov 23 18:50:55 UTC 2025","5134","","Login Tests","","tests.login.LoginTests","loginWithIncorrectPassword_showsError","Login with incorrect password shows error and stays on login page",""
"passed","Sun Nov 23 18:42:48 UTC 2025","Sun Nov 23 18:42:55 UTC 2025","7822","","Account Details Tests","","tests.accountDetails.ProfileTests","trimLastName","Trim Last Name",""
"passed","Sun Nov 23 18:42:32 UTC 2025","Sun Nov 23 18:42:40 UTC 2025","7886","","Account Details Tests","","tests.accountDetails.ProfileTests","validFirstName","Valid First Name",""
"skipped","Sun Nov 23 18:43:19 UTC 2025","Sun Nov 23 18:43:19 UTC 2025","0","","Account Details Tests","","tests.accountDetails.ProfileTests","charsInFirstName","Special characters in First Name",""
"passed","Sun Nov 23 18:47:04 UTC 2025","Sun Nov 23 18:47:17 UTC 2025","13196","","Shopping Bag tests","","tests.shoppingBag.ShoppingBagTests","verifyEmptyCartMessage","Empty cart message",""
"passed","Sun Nov 23 18:46:37 UTC 2025","Sun Nov 23 18:47:04 UTC 2025","26578","","Shopping Bag tests","","tests.shoppingBag.ShoppingBagTests","verifyShoppingBagAfterReLogin","Shopping cart persists after logout/login (logged-in users)",""
"passed","Sun Nov 23 18:52:13 UTC 2025","Sun Nov 23 18:52:20 UTC 2025","7002","","Wishlist tests (Guest)","","tests.wishlist.WishlistGuestTests","addProduct","Guest: Add first product from Nuts category to wishlist",""
"passed","Sun Nov 23 18:45:29 UTC 2025","Sun Nov 23 18:45:41 UTC 2025","11975","","Check change password functionality","","tests.changePassword.ChangePasswordTests","changePasswordSuccessful","Successful changing of user password",""
"skipped","Sun Nov 23 18:44:21 UTC 2025","Sun Nov 23 18:44:21 UTC 2025","0","","Account Details Tests","","tests.accountDetails.ProfileTests","charsInLastName","Special characters in Last Name",""
"skipped","Sun Nov 23 18:43:52 UTC 2025","Sun Nov 23 18:43:52 UTC 2025","0","","Account Details Tests","","tests.accountDetails.ProfileTests","digitsInLastName","Digits in Last Name",""
"passed","Sun Nov 23 18:54:11 UTC 2025","Sun Nov 23 18:54:57 UTC 2025","45791","","Search results display","","tests.search.SearchResultsTests","search_existing_loggedIn","Logged-in user: search for existing product shows results",""
"passed","Sun Nov 23 18:51:21 UTC 2025","Sun Nov 23 18:51:26 UTC 2025","4901","","Login Tests","","tests.login.LoginTests","loginFailsWithEmptyPassword_noTextCheck","Login fails with empty password shows error and stays on login page",""
"passed","Sun Nov 23 18:53:44 UTC 2025","Sun Nov 23 18:54:00 UTC 2025","16178","","Open correct PDP from search results","","tests.search.SearchPdpNavigationTests","loggedin_click_opens_correct_pdp","Logged-in user: first search result opens correct PDP",""
"passed","Sun Nov 23 18:49:50 UTC 2025","Sun Nov 23 18:50:07 UTC 2025","17184","","Shopping Bag tests","","tests.shoppingBag.ShoppingBagTests","removeItemFromShoppingBag","Remove product from cart",""
"passed","Sun Nov 23 18:43:34 UTC 2025","Sun Nov 23 18:43:44 UTC 2025","9758","","Account Details Tests","","tests.accountDetails.ProfileTests","validEmail","Valid Email",""
"passed","Sun Nov 23 18:51:08 UTC 2025","Sun Nov 23 18:51:13 UTC 2025","4561","","Login Tests","","tests.login.LoginTests","forgotPasswordLink_opensResetPage","'Forgot password' link opens the reset page and shows the form",""
"passed","Sun Nov 23 18:43:03 UTC 2025","Sun Nov 23 18:43:12 UTC 2025","8115","","Account Details Tests","","tests.accountDetails.ProfileTests","trimAllFields","Trim All Fields",""
"passed","Sun Nov 23 18:48:22 UTC 2025","Sun Nov 23 18:48:59 UTC 2025","36894","","Shopping Bag tests","","tests.shoppingBag.ShoppingBagTests","verifyTotalCalculationInShoppingBag","Correct total calculation",""
"passed","Sun Nov 23 18:56:08 UTC 2025","Sun Nov 23 18:56:13 UTC 2025","4533","","Footer tests","","tests.footer.FooterTests","verifyFooterLinksOrder","ZIYAD-T60: Verify presence and order of footer links",""
"passed","Sun Nov 23 18:51:13 UTC 2025","Sun Nov 23 18:51:17 UTC 2025","4785","","Login Tests","","tests.login.LoginTests","loginFailsWithEmptyUsername_noTextCheck","Login fails with empty username shows error and stays on login page",""
"passed","Sun Nov 23 18:56:24 UTC 2025","Sun Nov 23 18:56:29 UTC 2025","5638","","Check user registration functionality","","tests.registration.RegistrationTests","userRegistrationErrorValidation","User registration with incorrect email [1] INVALID_EMAIL_EMPTY",""
"passed","Sun Nov 23 18:43:19 UTC 2025","Sun Nov 23 18:43:27 UTC 2025","7826","","Account Details Tests","","tests.accountDetails.ProfileTests","validDisplayName","Valid Display Name",""
"passed","Sun Nov 23 18:56:29 UTC 2025","Sun Nov 23 18:56:35 UTC 2025","5417","","Check user registration functionality","","tests.registration.RegistrationTests","userRegistrationErrorValidation","User registration with incorrect email [2] INVALID_EMAIL_NO_AT",""
"passed","Sun Nov 23 18:56:19 UTC 2025","Sun Nov 23 18:56:23 UTC 2025","4690","","Footer tests","","tests.footer.FooterTests","verifyCopyrightText","ZIYAD-T67: Verify copyright text",""
"passed","Sun Nov 23 18:56:40 UTC 2025","Sun Nov 23 18:56:46 UTC 2025","5518","","Check user registration functionality","","tests.registration.RegistrationTests","userRegistrationErrorValidation","User registration with incorrect email [4] INVALID_EMAIL_NO_USERNAME",""
"passed","Sun Nov 23 18:42:55 UTC 2025","Sun Nov 23 18:43:03 UTC 2025","8099","","Account Details Tests","","tests.accountDetails.ProfileTests","charsInDisplayName","Special characters in Display Name",""
"passed","Sun Nov 23 18:56:13 UTC 2025","Sun Nov 23 18:56:19 UTC 2025","5748","","Footer tests","","tests.footer.FooterTests","verifyFooterConsistency","ZIYAD-T65: Verify footer consistency across pages",""
"passed","Sun Nov 23 18:52:05 UTC 2025","Sun Nov 23 18:52:13 UTC 2025","7379","","Wishlist tests (Guest)","","tests.wishlist.WishlistGuestTests","openWishlistByClickingAgain","Guest: Clicking wishlist icon again opens Wishlist with the product present",""
"passed","Sun Nov 23 18:50:59 UTC 2025","Sun Nov 23 18:51:04 UTC 2025","5353","","Login Tests","","tests.login.LoginTests","loginFailsWithNonExistingUser","Login with non-existing user shows error and stays on login page",""
"passed","Sun Nov 23 18:52:34 UTC 2025","Sun Nov 23 18:52:53 UTC 2025","19756","","Wishlist tests (Logged-in)","","tests.wishlist.WishlistLoggedInTests","persistsAfterRelogin","Logged-in: Wishlist persists after re-login",""
"passed","Sun Nov 23 18:44:37 UTC 2025","Sun Nov 23 18:44:47 UTC 2025","10653","","Logout Tests","","tests.logout.LogoutTests","logoutFromAccountPage_showsLoginForm","Logout from account page shows login/register form",""
