"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Nov 18 18:04:08 UTC 2025","Tue Nov 18 18:04:17 UTC 2025","9515","","Wishlist tests (Guest)","","tests.wishlist.WishlistGuestTests","addMultipleProducts","Guest: Add two different products from Nuts to wishlist",""
"passed","Tue Nov 18 18:00:28 UTC 2025","Tue Nov 18 18:01:08 UTC 2025","39810","","Shopping Bag tests","","tests.shoppingBag.ShoppingBagTests","verifyTotalCalculationInShoppingBag","Correct total calculation",""
"passed","Tue Nov 18 18:05:39 UTC 2025","Tue Nov 18 18:05:51 UTC 2025","12775","","Wishlist tests (Logged-in)","","tests.wishlist.WishlistLoggedInTests","addProduct","Logged-in: Add one product from Nuts to wishlist",""
"passed","Tue Nov 18 18:07:22 UTC 2025","Tue Nov 18 18:07:37 UTC 2025","15113","","Predictive search dropdown behavior","","tests.search.SearchAutocompleteTests","loggedin_predictive_dropdown","Logged-in user: predictive dropdown appears after typing 3+ characters",""
"passed","Tue Nov 18 18:05:26 UTC 2025","Tue Nov 18 18:05:39 UTC 2025","13020","","Wishlist tests (Logged-in)","","tests.wishlist.WishlistLoggedInTests","openWishlistByClickingAgain","Logged-in: Clicking wishlist icon again opens Wishlist with product present",""
"passed","Tue Nov 18 18:08:48 UTC 2025","Tue Nov 18 18:08:57 UTC 2025","8905","","tests.registration.RegistrationTests","","tests.registration.RegistrationTests","userSuccessfulRegistration","Successful user registration with correct email",""
"passed","Tue Nov 18 18:03:12 UTC 2025","Tue Nov 18 18:03:17 UTC 2025","5127","","Login Tests","","tests.login.LoginTests","loginFailsWithNonExistingUser","Login with non-existing user shows error and stays on login page",""
"passed","Tue Nov 18 17:59:16 UTC 2025","Tue Nov 18 17:59:29 UTC 2025","12582","","Shopping Bag tests","","tests.shoppingBag.ShoppingBagTests","addItemToShoppingBagAndVerifyItemsCount","Shopping cart icon shows correct item count",""
"passed","Tue Nov 18 18:03:17 UTC 2025","Tue Nov 18 18:03:21 UTC 2025","3694","","Login Tests","","tests.login.LoginTests","passwordVisibilityToggle_works","Password visibility toggle switches between masked and visible",""
"passed","Tue Nov 18 18:03:03 UTC 2025","Tue Nov 18 18:03:09 UTC 2025","5970","","Login Tests","","tests.login.LoginTests","loginWithIncorrectPassword_showsError","Login with incorrect password shows error and stays on login page",""
"passed","Tue Nov 18 18:07:44 UTC 2025","Tue Nov 18 18:07:57 UTC 2025","13199","","Display of 'no results' message when no products found","","tests.search.SearchNoResultsTests","loggedin_no_results_message","Logged-in user: no results message appears for invalid query",""
"passed","Tue Nov 18 18:02:56 UTC 2025","Tue Nov 18 18:03:02 UTC 2025","5938","","Shopping Bag tests","","tests.shoppingBag.ShoppingBagTests","verifyShoppingCartIconClickable","Shopping cart icon is clickable",""
