"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Nov 12 18:52:31 UTC 2025","Wed Nov 12 18:52:39 UTC 2025","8563","","Wishlist tests (Guest)","","tests.wishlist.WishlistGuestTests","removeFromWishlist","Guest: Remove product from Wishlist page",""
"passed","Wed Nov 12 18:52:25 UTC 2025","Wed Nov 12 18:52:30 UTC 2025","5208","","Login Tests","","tests.login.LoginTests","loginSuccess","Successful login with valid credentials",""
"passed","Wed Nov 12 18:47:42 UTC 2025","Wed Nov 12 18:47:57 UTC 2025","14860","","Shopping Bag tests","","tests.shoppingBag.ShoppingBagTests","removeProductFromShoppingBagWithCounter","Remove product from cart with counter",""
"passed","Wed Nov 12 18:56:10 UTC 2025","Wed Nov 12 18:56:19 UTC 2025","9883","","Display of 'no results' message when no products found","","tests.search.SearchNoResultsTests","loggedin_no_results_message","Logged-in user: no results message appears for invalid query",""
"passed","Wed Nov 12 18:49:17 UTC 2025","Wed Nov 12 18:49:29 UTC 2025","12363","","Shopping Bag tests","","tests.shoppingBag.ShoppingBagTests","addItemToShoppingBagAndVerifyItemsCount","Shopping cart icon shows correct item count",""
"passed","Wed Nov 12 18:53:03 UTC 2025","Wed Nov 12 18:53:10 UTC 2025","6787","","Wishlist tests (Guest)","","tests.wishlist.WishlistGuestTests","addProduct","Guest: Add first product from Nuts category to wishlist",""
"passed","Wed Nov 12 18:48:24 UTC 2025","Wed Nov 12 18:48:38 UTC 2025","13901","","Shopping Bag tests","","tests.shoppingBag.ShoppingBagTests","addItemAndVerifyQuantityInShoppingBag","Adding same product increases quantity",""
"passed","Wed Nov 12 18:52:47 UTC 2025","Wed Nov 12 18:52:56 UTC 2025","8798","","Wishlist tests (Guest)","","tests.wishlist.WishlistGuestTests","addMultipleProducts","Guest: Add two different products from Nuts to wishlist",""
"passed","Wed Nov 12 18:56:31 UTC 2025","Wed Nov 12 18:56:37 UTC 2025","6490","","Search with Enter key","","tests.search.SearchEnterTests","guest_enter_triggers_search","Guest user: pressing Enter triggers search and displays results",""
"passed","Wed Nov 12 18:55:43 UTC 2025","Wed Nov 12 18:55:51 UTC 2025","7981","","Predictive search dropdown behavior","","tests.search.SearchAutocompleteTests","guest_predictive_dropdown","Guest user: predictive dropdown appears after typing 3+ characters",""
"passed","Wed Nov 12 18:49:04 UTC 2025","Wed Nov 12 18:49:17 UTC 2025","12975","","Shopping Bag tests","","tests.shoppingBag.ShoppingBagTests","verifyEmptyCartMessage","Empty cart message",""
"passed","Wed Nov 12 18:47:57 UTC 2025","Wed Nov 12 18:48:09 UTC 2025","12652","","Shopping Bag tests","","tests.shoppingBag.ShoppingBagTests","hoverToShoppingBag","Hovering over the cart icon, a quick view of the cart contents is displayed",""
"passed","Wed Nov 12 18:53:44 UTC 2025","Wed Nov 12 18:54:00 UTC 2025","16060","","Wishlist tests (Logged-in)","","tests.wishlist.WishlistLoggedInTests","addMultipleProducts","Logged-in: Add two products to wishlist",""
"passed","Wed Nov 12 18:53:10 UTC 2025","Wed Nov 12 18:53:24 UTC 2025","14163","","Wishlist tests (Logged-in)","","tests.wishlist.WishlistLoggedInTests","removeFromWishlist","Logged-in: Remove product from Wishlist page",""
"passed","Wed Nov 12 18:51:35 UTC 2025","Wed Nov 12 18:51:45 UTC 2025","9781","","Shopping Bag tests","","tests.shoppingBag.ShoppingBagTests","addItemToShoppingBag","Add item to shopping bag",""
"passed","Wed Nov 12 18:54:56 UTC 2025","Wed Nov 12 18:55:43 UTC 2025","46822","","Search results display","","tests.search.SearchResultsTests","search_existing_loggedIn","Logged-in user: search for existing product shows results",""
"passed","Wed Nov 12 18:51:54 UTC 2025","Wed Nov 12 18:51:58 UTC 2025","4623","","Login Tests","","tests.login.LoginTests","loginFailsWithNonExistingUser","Login with non-existing user shows error and stays on login page",""
"passed","Wed Nov 12 18:56:20 UTC 2025","Wed Nov 12 18:56:31 UTC 2025","10766","","Search with Enter key","","tests.search.SearchEnterTests","loggedin_enter_triggers_search","Logged-in user: pressing Enter triggers search and displays results",""
"passed","Wed Nov 12 18:50:25 UTC 2025","Wed Nov 12 18:51:01 UTC 2025","35703","","Shopping Bag tests","","tests.shoppingBag.ShoppingBagTests","verifyInShoppingBagDisplay","Shopping cart display",""
"passed","Wed Nov 12 18:51:58 UTC 2025","Wed Nov 12 18:52:02 UTC 2025","3504","","Login Tests","","tests.login.LoginTests","passwordVisibilityToggle_works","Password visibility toggle switches between masked and visible",""
"passed","Wed Nov 12 18:52:20 UTC 2025","Wed Nov 12 18:52:25 UTC 2025","4719","","Login Tests","","tests.login.LoginTests","loginFailsWithBothEmpty_noTextCheck","Login fails with both fields empty shows error and stays on login page",""
"passed","Wed Nov 12 18:54:00 UTC 2025","Wed Nov 12 18:54:13 UTC 2025","12847","","Wishlist tests (Logged-in)","","tests.wishlist.WishlistLoggedInTests","openWishlistByClickingAgain","Logged-in: Clicking wishlist icon again opens Wishlist with product present",""
"passed","Wed Nov 12 18:56:03 UTC 2025","Wed Nov 12 18:56:10 UTC 2025","6189","","Display of 'no results' message when no products found","","tests.search.SearchNoResultsTests","guest_no_results_message","Guest user: no results message appears for invalid query",""
"passed","Wed Nov 12 18:54:47 UTC 2025","Wed Nov 12 18:54:56 UTC 2025","8963","","Search results display","","tests.search.SearchResultsTests","search_existing_guest","Guest user: search for existing product shows results",""
"passed","Wed Nov 12 18:51:16 UTC 2025","Wed Nov 12 18:51:30 UTC 2025","13845","","Shopping Bag tests","","tests.shoppingBag.ShoppingBagTests","removeItemFromShoppingBag","Remove product from cart",""
"passed","Wed Nov 12 18:54:13 UTC 2025","Wed Nov 12 18:54:25 UTC 2025","12144","","Wishlist tests (Logged-in)","","tests.wishlist.WishlistLoggedInTests","addProduct","Logged-in: Add one product from Nuts to wishlist",""
"passed","Wed Nov 12 18:52:16 UTC 2025","Wed Nov 12 18:52:20 UTC 2025","4620","","Login Tests","","tests.login.LoginTests","loginFailsWithEmptyPassword_noTextCheck","Login fails with empty password shows error and stays on login page",""
"passed","Wed Nov 12 18:51:30 UTC 2025","Wed Nov 12 18:51:35 UTC 2025","5753","","Shopping Bag tests","","tests.shoppingBag.ShoppingBagTests","verifyNewUserSeesEmptyCart","New user sees empty cart",""
"passed","Wed Nov 12 18:51:50 UTC 2025","Wed Nov 12 18:51:54 UTC 2025","3493","","Login Tests","","tests.login.LoginTests","openLoginPage_andVerifyFormVisible","Login page opens and form is visible",""
"passed","Wed Nov 12 18:53:24 UTC 2025","Wed Nov 12 18:53:44 UTC 2025","19746","","Wishlist tests (Logged-in)","","tests.wishlist.WishlistLoggedInTests","persistsAfterRelogin","Logged-in: Wishlist persists after re-login",""
"passed","Wed Nov 12 18:54:34 UTC 2025","Wed Nov 12 18:54:47 UTC 2025","12153","","Open correct PDP from search results","","tests.search.SearchPdpNavigationTests","loggedin_click_opens_correct_pdp","Logged-in user: first search result opens correct PDP",""
"passed","Wed Nov 12 18:56:38 UTC 2025","Wed Nov 12 18:56:42 UTC 2025","4913","","Registration Tests","","tests.registration.RegistrationTests","registrationModalIsOpened","Check registration modsal is opened",""
"passed","Wed Nov 12 18:52:56 UTC 2025","Wed Nov 12 18:53:03 UTC 2025","7059","","Wishlist tests (Guest)","","tests.wishlist.WishlistGuestTests","openWishlistByClickingAgain","Guest: Clicking wishlist icon again opens Wishlist with the product present",""
"passed","Wed Nov 12 18:49:29 UTC 2025","Wed Nov 12 18:50:25 UTC 2025","55571","","Shopping Bag tests","","tests.shoppingBag.ShoppingBagTests","verifyPricesInProductAndInShoppingBag","Price check",""
"passed","Wed Nov 12 18:52:06 UTC 2025","Wed Nov 12 18:52:11 UTC 2025","4629","","Login Tests","","tests.login.LoginTests","loginFailsWithEmptyUsername_noTextCheck","Login fails with empty username shows error and stays on login page",""
"passed","Wed Nov 12 18:54:26 UTC 2025","Wed Nov 12 18:54:34 UTC 2025","8757","","Open correct PDP from search results","","tests.search.SearchPdpNavigationTests","guest_click_opens_correct_pdp","Guest user: first search result opens correct PDP",""
"passed","Wed Nov 12 18:48:09 UTC 2025","Wed Nov 12 18:48:24 UTC 2025","14704","","Shopping Bag tests","","tests.shoppingBag.ShoppingBagTests","verifyShoppingBagAfterReload","Shopping cart persists after page reload",""
"passed","Wed Nov 12 18:48:38 UTC 2025","Wed Nov 12 18:49:04 UTC 2025","25885","","Shopping Bag tests","","tests.shoppingBag.ShoppingBagTests","verifyShoppingBagAfterReLogin","Shopping cart persists after logout/login (logged-in users)",""
"passed","Wed Nov 12 18:51:01 UTC 2025","Wed Nov 12 18:51:16 UTC 2025","15127","","Shopping Bag tests","","tests.shoppingBag.ShoppingBagTests","editToShoppingBag","Edit shopping cart",""
"passed","Wed Nov 12 18:52:39 UTC 2025","Wed Nov 12 18:52:47 UTC 2025","7877","","Wishlist tests (Guest)","","tests.wishlist.WishlistGuestTests","persistsAfterRefresh","Guest: Wishlist persists after page refresh",""
"passed","Wed Nov 12 18:55:51 UTC 2025","Wed Nov 12 18:56:03 UTC 2025","11755","","Predictive search dropdown behavior","","tests.search.SearchAutocompleteTests","loggedin_predictive_dropdown","Logged-in user: predictive dropdown appears after typing 3+ characters",""
"passed","Wed Nov 12 18:52:11 UTC 2025","Wed Nov 12 18:52:16 UTC 2025","5091","","Login Tests","","tests.login.LoginTests","rememberMeCheckboxToggles","'Remember me' checkbox toggles",""
"passed","Wed Nov 12 18:51:46 UTC 2025","Wed Nov 12 18:51:50 UTC 2025","4654","","Login Tests","","tests.login.LoginTests","loginWithIncorrectPassword_showsError","Login with incorrect password shows error and stays on login page",""
"passed","Wed Nov 12 18:52:02 UTC 2025","Wed Nov 12 18:52:06 UTC 2025","4250","","Login Tests","","tests.login.LoginTests","forgotPasswordLink_opensResetPage","'Forgot password' link opens the reset page and shows the form",""
