"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Nov 11 21:10:08 UTC 2025","Tue Nov 11 21:10:12 UTC 2025","4511","","Login Tests","","tests.login.LoginTests","loginSuccess","Successful login with valid credentials",""
"passed","Tue Nov 11 21:09:50 UTC 2025","Tue Nov 11 21:09:54 UTC 2025","4040","","Login Tests","","tests.login.LoginTests","loginFailsWithEmptyUsername_noTextCheck","Login fails with empty username shows error and stays on login page",""
"passed","Tue Nov 11 21:09:43 UTC 2025","Tue Nov 11 21:09:46 UTC 2025","2982","","Login Tests","","tests.login.LoginTests","passwordVisibilityToggle_works","Password visibility toggle switches between masked and visible",""
"passed","Tue Nov 11 21:09:46 UTC 2025","Tue Nov 11 21:09:50 UTC 2025","3950","","Login Tests","","tests.login.LoginTests","forgotPasswordLink_opensResetPage","'Forgot password' link opens the reset page and shows the form",""
"passed","Tue Nov 11 21:10:44 UTC 2025","Tue Nov 11 21:10:50 UTC 2025","6164","","Wishlist tests (Guest)","","tests.wishlist.WishlistGuestTests","addProduct","Guest: Add first product from Nuts category to wishlist",""
"passed","Tue Nov 11 21:10:22 UTC 2025","Tue Nov 11 21:10:29 UTC 2025","7352","","Wishlist tests (Guest)","","tests.wishlist.WishlistGuestTests","persistsAfterRefresh","Guest: Wishlist persists after page refresh",""
"passed","Tue Nov 11 21:12:01 UTC 2025","Tue Nov 11 21:12:06 UTC 2025","4602","","Registration Tests","","tests.registration.RegistrationTests","registrationModalIsOpened","Check registration modsal is opened",""
"passed","Tue Nov 11 21:08:34 UTC 2025","Tue Nov 11 21:08:46 UTC 2025","11335","","Shopping Bag tests","","tests.shoppingBag.ShoppingBagTests","addItemToShoppingBagAndVerifyItemsCount","Shopping cart icon shows correct item count",""
"passed","Tue Nov 11 21:08:21 UTC 2025","Tue Nov 11 21:08:34 UTC 2025","13190","","Shopping Bag tests","","tests.shoppingBag.ShoppingBagTests","addItemAndVerifyQuantityInShoppingBag","Adding same product increases quantity",""
"passed","Tue Nov 11 21:09:32 UTC 2025","Tue Nov 11 21:09:36 UTC 2025","4171","","Login Tests","","tests.login.LoginTests","loginWithIncorrectPassword_showsError","Login with incorrect password shows error and stays on login page",""
