"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Nov 24 11:59:51 UTC 2025","Mon Nov 24 12:00:10 UTC 2025","18253","","Purchase Function Tests","","tests.purchaseFunction.PurchaseFunctionLoggedOutUserTests","verifyOrderDetails","Verify order details on Order Confirmation Page",""
"passed","Mon Nov 24 12:02:24 UTC 2025","Mon Nov 24 12:02:36 UTC 2025","11857","","Purchase Function Tests","","tests.purchaseFunction.PurchaseFunctionLoggedOutUserTests","validateEachRequiredField","Validate required field and its alert message [6] //input[@name='billing_city'], Rechnung: Ort / Stadt ist ein Pflichtfeld.",""
"broken","Mon Nov 24 11:58:42 UTC 2025","Mon Nov 24 11:59:19 UTC 2025","36354","","Check change password functionality","","tests.changePassword.ChangePasswordTests","changePasswordSuccessful","Successful changing of user password",""
"passed","Mon Nov 24 11:54:42 UTC 2025","Mon Nov 24 11:54:49 UTC 2025","6975","","Account Details Tests","","tests.accountDetails.ProfileTests","trimEmail","Trim Email",""
"passed","Mon Nov 24 12:05:07 UTC 2025","Mon Nov 24 12:05:25 UTC 2025","18657","","Purchase Function Tests","","tests.purchaseFunction.PurchaseFunctionLoggedInUserTests","createOrderWithValidData","Successful order creation with valid data",""
"passed","Mon Nov 24 12:01:23 UTC 2025","Mon Nov 24 12:01:35 UTC 2025","11663","","Purchase Function Tests","","tests.purchaseFunction.PurchaseFunctionLoggedOutUserTests","validateEachRequiredField","Validate required field and its alert message [1] //input[@name='billing_email'], Rechnung: E-Mail-Adresse ist ein Pflichtfeld.",""
"passed","Mon Nov 24 12:05:26 UTC 2025","Mon Nov 24 12:05:40 UTC 2025","13860","","Shopping Bag Tests","","tests.shoppingBag.ShoppingBagTests","removeProductFromShoppingBagWithCounter","Remove product from cart with counter",""
"passed","Mon Nov 24 12:05:50 UTC 2025","Mon Nov 24 12:06:02 UTC 2025","11688","","Shopping Bag Tests","","tests.shoppingBag.ShoppingBagTests","verifyShoppingBagAfterReload","Shopping cart persists after page reload",""
"skipped","Mon Nov 24 11:54:49 UTC 2025","Mon Nov 24 11:54:49 UTC 2025","0","","Account Details Tests","","tests.accountDetails.ProfileTests","charsInFirstName","Special characters in First Name",""
"passed","Mon Nov 24 11:56:33 UTC 2025","Mon Nov 24 11:56:42 UTC 2025","9050","","Logout Tests","","tests.logout.LogoutTests","logoutFromAccountPage_showsLoginForm","Logout from account page shows login/register form",""
"passed","Mon Nov 24 11:53:00 UTC 2025","Mon Nov 24 11:53:07 UTC 2025","7730","","Account Details Tests","","tests.accountDetails.ProfileTests","emptyDisplayName","Empty Display Name Field",""
"failed","Mon Nov 24 12:02:48 UTC 2025","Mon Nov 24 12:03:02 UTC 2025","13705","","Purchase Function Tests","","tests.purchaseFunction.PurchaseFunctionLoggedInUserTests","verifyPaymentMethods","Payment method selection",""
"passed","Mon Nov 24 12:00:15 UTC 2025","Mon Nov 24 12:00:30 UTC 2025","15331","","Purchase Function Tests","","tests.purchaseFunction.PurchaseFunctionLoggedOutUserTests","verifyOrderInformation","Verify order information on Order Confirmation Page",""
"passed","Mon Nov 24 11:54:57 UTC 2025","Mon Nov 24 11:55:03 UTC 2025","6799","","Account Details Tests","","tests.accountDetails.ProfileTests","emptyLastName","Empty Last Name Field",""
"passed","Mon Nov 24 12:03:02 UTC 2025","Mon Nov 24 12:03:24 UTC 2025","21818","","Purchase Function Tests","","tests.purchaseFunction.PurchaseFunctionLoggedInUserTests","verifyShoppingBagClearedAfterOrderCreation","Cart cleared after successful order placement",""
"skipped","Mon Nov 24 12:05:07 UTC 2025","Mon Nov 24 12:05:07 UTC 2025","0","","Purchase Function Tests","","tests.purchaseFunction.PurchaseFunctionLoggedInUserTests","createOrderWithIncorrectNameWithSpecialCharacters","Unsuccessful order creation with incorrect Name with special characters",""
"passed","Mon Nov 24 11:54:35 UTC 2025","Mon Nov 24 11:54:42 UTC 2025","7115","","Account Details Tests","","tests.accountDetails.ProfileTests","trimAllFields","Trim All Fields",""
"skipped","Mon Nov 24 11:56:19 UTC 2025","Mon Nov 24 11:56:19 UTC 2025","0","","Account Details Tests","","tests.accountDetails.ProfileTests","charsInLastName","Special characters in Last Name",""
"passed","Mon Nov 24 12:00:42 UTC 2025","Mon Nov 24 12:00:57 UTC 2025","15133","","Purchase Function Tests","","tests.purchaseFunction.PurchaseFunctionLoggedOutUserTests","createOrderWithValidData","User can complete the purchase even if he/she doesn't login",""
"passed","Mon Nov 24 11:56:05 UTC 2025","Mon Nov 24 11:56:12 UTC 2025","6840","","Account Details Tests","","tests.accountDetails.ProfileTests","invalidEmailFormat","Invalid email format",""
"passed","Mon Nov 24 12:01:35 UTC 2025","Mon Nov 24 12:01:47 UTC 2025","12305","","Purchase Function Tests","","tests.purchaseFunction.PurchaseFunctionLoggedOutUserTests","validateEachRequiredField","Validate required field and its alert message [2] //input[@name='billing_first_name'], Rechnung: Vorname ist ein Pflichtfeld.",""
"passed","Mon Nov 24 12:05:40 UTC 2025","Mon Nov 24 12:05:50 UTC 2025","10293","","Shopping Bag Tests","","tests.shoppingBag.ShoppingBagTests","hoverToShoppingBag","Hovering over the cart icon, a quick view of the cart contents is displayed",""
"passed","Mon Nov 24 12:01:47 UTC 2025","Mon Nov 24 12:01:59 UTC 2025","11794","","Purchase Function Tests","","tests.purchaseFunction.PurchaseFunctionLoggedOutUserTests","validateEachRequiredField","Validate required field and its alert message [3] //input[@name='billing_last_name'], Rechnung: Nachname ist ein Pflichtfeld.",""
"passed","Mon Nov 24 12:00:10 UTC 2025","Mon Nov 24 12:00:15 UTC 2025","5128","","Purchase Function Tests","","tests.purchaseFunction.PurchaseFunctionLoggedOutUserTests","proceedWithEmptyCart","Cannot proceed with empty cart",""
"passed","Mon Nov 24 12:00:30 UTC 2025","Mon Nov 24 12:00:42 UTC 2025","11606","","Purchase Function Tests","","tests.purchaseFunction.PurchaseFunctionLoggedOutUserTests","proceedToCheckoutWithMiniCartPopup","Proceed to checkout through the quick view of the shopping cart",""
"passed","Mon Nov 24 12:00:57 UTC 2025","Mon Nov 24 12:01:10 UTC 2025","13477","","Purchase Function Tests","","tests.purchaseFunction.PurchaseFunctionLoggedOutUserTests","verifyBankDetailsOnConfirmationPage","Verify Order Confirmation Page contains Bank Details for Direct Bank Transfer",""
"passed","Mon Nov 24 12:02:12 UTC 2025","Mon Nov 24 12:02:24 UTC 2025","12110","","Purchase Function Tests","","tests.purchaseFunction.PurchaseFunctionLoggedOutUserTests","validateEachRequiredField","Validate required field and its alert message [5] //input[@name='billing_postcode'], Rechnung: Postleitzahl ist ein Pflichtfeld.",""
"passed","Mon Nov 24 12:02:36 UTC 2025","Mon Nov 24 12:02:48 UTC 2025","11930","","Purchase Function Tests","","tests.purchaseFunction.PurchaseFunctionLoggedOutUserTests","validateEachRequiredField","Validate required field and its alert message [7] //input[@name='billing_phone'], Rechnung: Telefon ist ein Pflichtfeld.",""
"skipped","Mon Nov 24 11:55:49 UTC 2025","Mon Nov 24 11:55:49 UTC 2025","0","","Account Details Tests","","tests.accountDetails.ProfileTests","digitsInLastName","Digits in Last Name",""
"passed","Mon Nov 24 12:03:35 UTC 2025","Mon Nov 24 12:03:51 UTC 2025","16387","","Purchase Function Tests","","tests.purchaseFunction.PurchaseFunctionLoggedInUserTests","createOrderWithIncorrectPostcode","Unsuccessful order creation with incorrect Postcode",""
"broken","Mon Nov 24 11:53:07 UTC 2025","Mon Nov 24 11:53:45 UTC 2025","37559","","Account Details Tests","","tests.accountDetails.ProfileTests","validFirstName","Valid First Name",""
"passed","Mon Nov 24 11:55:49 UTC 2025","Mon Nov 24 11:55:57 UTC 2025","7392","","Account Details Tests","","tests.accountDetails.ProfileTests","specialCharsInEmail","Special characters in Email",""
"passed","Mon Nov 24 11:54:28 UTC 2025","Mon Nov 24 11:54:35 UTC 2025","7010","","Account Details Tests","","tests.accountDetails.ProfileTests","charsInDisplayName","Special characters in Display Name",""
"passed","Mon Nov 24 12:03:51 UTC 2025","Mon Nov 24 12:04:09 UTC 2025","17436","","Purchase Function Tests","","tests.purchaseFunction.PurchaseFunctionLoggedInUserTests","createOrderWithIncorrectPhoneNumber","Unsuccessful order creation with incorrect Phone number",""
"skipped","Mon Nov 24 12:05:25 UTC 2025","Mon Nov 24 12:05:25 UTC 2025","0","","Purchase Function Tests","","tests.purchaseFunction.PurchaseFunctionLoggedInUserTests","createOrderWithIncorrectNameWithDigits","Unsuccessful order creation with incorrect Name with digits",""
"broken","Mon Nov 24 11:58:06 UTC 2025","Mon Nov 24 11:58:42 UTC 2025","36433","","Check change password functionality","","tests.changePassword.ChangePasswordTests","changePasswordWithIncorrectPasswordConfirmation","Check error message when password confirmation is wrong",""
"broken","Mon Nov 24 11:59:19 UTC 2025","Mon Nov 24 11:59:41 UTC 2025","21848","","Purchase Function Tests","","tests.purchaseFunction.PurchaseFunctionLoggedOutUserTests","validateAllEmptyRequiredFields","Required fields validation - validate all empty required fields",""
"passed","Mon Nov 24 12:04:49 UTC 2025","Mon Nov 24 12:05:07 UTC 2025","17414","","Purchase Function Tests","","tests.purchaseFunction.PurchaseFunctionLoggedInUserTests","createOrderWithPayPalPaymentMethod","Verify user can create order with PayPal payment method",""
"broken","Mon Nov 24 11:56:53 UTC 2025","Mon Nov 24 11:57:30 UTC 2025","36331","","Check change password functionality","","tests.changePassword.ChangePasswordTests","changePasswordWithIncorrectCurrentPassword","Check error message when current password is wrong",""
"passed","Mon Nov 24 12:04:30 UTC 2025","Mon Nov 24 12:04:49 UTC 2025","19515","","Purchase Function Tests","","tests.purchaseFunction.PurchaseFunctionLoggedInUserTests","verifyFinalTotalAmount","Final total displayed correctly on checkout page",""
"skipped","Mon Nov 24 11:56:19 UTC 2025","Mon Nov 24 11:56:19 UTC 2025","0","","Account Details Tests","","tests.accountDetails.ProfileTests","digitsInFirstName","Digits in First Name",""
"passed","Mon Nov 24 11:53:45 UTC 2025","Mon Nov 24 11:53:51 UTC 2025","6396","","Account Details Tests","","tests.accountDetails.ProfileTests","emptyEmail","Empty Email Field",""
"passed","Mon Nov 24 12:01:59 UTC 2025","Mon Nov 24 12:02:12 UTC 2025","12698","","Purchase Function Tests","","tests.purchaseFunction.PurchaseFunctionLoggedOutUserTests","validateEachRequiredField","Validate required field and its alert message [4] //input[@name='billing_address_1'], Rechnung: Straße ist ein Pflichtfeld.",""
"passed","Mon Nov 24 12:01:10 UTC 2025","Mon Nov 24 12:01:23 UTC 2025","12884","","Purchase Function Tests","","tests.purchaseFunction.PurchaseFunctionLoggedOutUserTests","verifyDeliveryPriceChanged","Delivery price changes with country changing",""
"passed","Mon Nov 24 11:56:12 UTC 2025","Mon Nov 24 11:56:19 UTC 2025","7294","","Account Details Tests","","tests.accountDetails.ProfileTests","trimDisplayName","Trim Display Name",""
"passed","Mon Nov 24 11:55:03 UTC 2025","Mon Nov 24 11:55:12 UTC 2025","8741","","Account Details Tests","","tests.accountDetails.ProfileTests","validEmail","Valid Email",""
"passed","Mon Nov 24 11:56:42 UTC 2025","Mon Nov 24 11:56:53 UTC 2025","11065","","Logout Tests","","tests.logout.LogoutTests","logoutFromHeaderDropdown_showsLoginForm","Logout from header dropdown shows login/register form",""
"passed","Mon Nov 24 11:54:49 UTC 2025","Mon Nov 24 11:54:57 UTC 2025","7142","","Account Details Tests","","tests.accountDetails.ProfileTests","validDisplayName","Valid Display Name",""
"broken","Mon Nov 24 11:55:12 UTC 2025","Mon Nov 24 11:55:49 UTC 2025","37072","","Account Details Tests","","tests.accountDetails.ProfileTests","trimFirstName","Trim First Name",""
"broken","Mon Nov 24 12:03:24 UTC 2025","Mon Nov 24 12:03:35 UTC 2025","11421","","Purchase Function Tests","","tests.purchaseFunction.PurchaseFunctionLoggedInUserTests","createOrderWithoutLegalCheckbox","User cannot complete the purchase when legal checkbox is unchecked",""
"broken","Mon Nov 24 11:53:51 UTC 2025","Mon Nov 24 11:54:28 UTC 2025","36909","","Account Details Tests","","tests.accountDetails.ProfileTests","trimLastName","Trim Last Name",""
"passed","Mon Nov 24 11:56:19 UTC 2025","Mon Nov 24 11:56:26 UTC 2025","6869","","Account Details Tests","","tests.accountDetails.ProfileTests","validLastName","Valid Last Name",""
"passed","Mon Nov 24 12:04:09 UTC 2025","Mon Nov 24 12:04:30 UTC 2025","20940","","Purchase Function Tests","","tests.purchaseFunction.PurchaseFunctionLoggedInUserTests","verifyOrderExistsInPersonalAccount","Verify order exists in user account after successful order placement",""
"passed","Mon Nov 24 11:56:26 UTC 2025","Mon Nov 24 11:56:32 UTC 2025","6346","","Account Details Tests","","tests.accountDetails.ProfileTests","emptyFirstName","Empty First Name Field",""
"passed","Mon Nov 24 11:55:57 UTC 2025","Mon Nov 24 11:56:05 UTC 2025","8353","","Account Details Tests","","tests.accountDetails.ProfileTests","allFieldsEmpty","All fields empty",""
"broken","Mon Nov 24 11:57:30 UTC 2025","Mon Nov 24 11:58:06 UTC 2025","36385","","Check change password functionality","","tests.changePassword.ChangePasswordTests","changePasswordWithWeakNewPassword","Check that 'Save' button is inactive when new password doesn't match security rules",""
"passed","Mon Nov 24 11:59:41 UTC 2025","Mon Nov 24 11:59:51 UTC 2025","10382","","Purchase Function Tests","","tests.purchaseFunction.PurchaseFunctionLoggedOutUserTests","proceedToCheckoutFromShoppingBag","Proceed to checkout from shopping bag page",""
