"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Nov 24 17:21:32 UTC 2025","Mon Nov 24 17:21:39 UTC 2025","7048","","Account Details Tests","","tests.accountDetails.ProfileTests","emptyLastName","Empty Last Name Field",""
"passed","Mon Nov 24 17:40:22 UTC 2025","Mon Nov 24 17:40:35 UTC 2025","13480","","Search with Enter key","","tests.search.SearchEnterTests","loggedin_enter_triggers_search","Logged-in user: pressing Enter triggers search and displays results",""
"passed","Mon Nov 24 17:28:59 UTC 2025","Mon Nov 24 17:29:16 UTC 2025","16509","","Purchase Function Tests","","tests.purchaseFunction.PurchaseFunctionLoggedInUserTests","createOrderWithIncorrectPostcode","Unsuccessful order creation with incorrect Postcode",""
"passed","Mon Nov 24 17:31:21 UTC 2025","Mon Nov 24 17:31:34 UTC 2025","12969","","Shopping Bag Tests","","tests.shoppingBag.ShoppingBagTests","verifyShoppingBagAfterReload","Shopping cart persists after page reload",""
"passed","Mon Nov 24 17:35:56 UTC 2025","Mon Nov 24 17:36:01 UTC 2025","4407","","Login Tests","","tests.login.LoginTests","forgotPasswordLink_opensResetPage","'Forgot password' link opens the reset page and shows the form",""
"passed","Mon Nov 24 17:41:41 UTC 2025","Mon Nov 24 17:41:48 UTC 2025","6683","","Check user registration functionality","","tests.registration.RegistrationTests","tryAlreadyRegisteredUser","User registration with already existed email",""
"passed","Mon Nov 24 17:26:50 UTC 2025","Mon Nov 24 17:27:03 UTC 2025","12781","","Purchase Function Tests","","tests.purchaseFunction.PurchaseFunctionLoggedOutUserTests","validateEachRequiredField","Validate required field and its alert message [2] //input[@name='billing_first_name'], Rechnung: Vorname ist ein Pflichtfeld.",""
"passed","Mon Nov 24 17:22:18 UTC 2025","Mon Nov 24 17:22:26 UTC 2025","7661","","Account Details Tests","","tests.accountDetails.ProfileTests","trimDisplayName","Trim Display Name",""
"passed","Mon Nov 24 17:36:51 UTC 2025","Mon Nov 24 17:36:58 UTC 2025","7014","","Wishlist tests (Guest)","","tests.wishlist.WishlistGuestTests","openWishlistByClickingAgain","Guest: Clicking wishlist icon again opens Wishlist with the product present",""
"passed","Mon Nov 24 17:25:40 UTC 2025","Mon Nov 24 17:25:52 UTC 2025","12486","","Purchase Function Tests","","tests.purchaseFunction.PurchaseFunctionLoggedOutUserTests","proceedToCheckoutWithMiniCartPopup","Proceed to checkout through the quick view of the shopping cart",""
"skipped","Mon Nov 24 17:30:35 UTC 2025","Mon Nov 24 17:30:35 UTC 2025","0","","Purchase Function Tests","","tests.purchaseFunction.PurchaseFunctionLoggedInUserTests","createOrderWithIncorrectNameWithSpecialCharacters","Unsuccessful order creation with incorrect Name with special characters",""
"passed","Mon Nov 24 17:37:05 UTC 2025","Mon Nov 24 17:37:18 UTC 2025","13157","","Wishlist tests (Logged-in)","","tests.wishlist.WishlistLoggedInTests","removeFromWishlist","Logged-in: Remove product from Wishlist page",""
"passed","Mon Nov 24 17:36:58 UTC 2025","Mon Nov 24 17:37:05 UTC 2025","6979","","Wishlist tests (Guest)","","tests.wishlist.WishlistGuestTests","addProduct","Guest: Add first product from Nuts category to wishlist",""
"passed","Mon Nov 24 17:39:45 UTC 2025","Mon Nov 24 17:40:00 UTC 2025","14721","","Predictive search dropdown behavior","","tests.search.SearchAutocompleteTests","loggedin_predictive_dropdown","Logged-in user: predictive dropdown appears after typing 3+ characters",""
"passed","Mon Nov 24 17:33:59 UTC 2025","Mon Nov 24 17:34:34 UTC 2025","35065","","Shopping Bag Tests","","tests.shoppingBag.ShoppingBagTests","verifyInShoppingBagDisplay","Shopping cart display",""
"passed","Mon Nov 24 17:22:11 UTC 2025","Mon Nov 24 17:22:18 UTC 2025","6549","","Account Details Tests","","tests.accountDetails.ProfileTests","invalidEmailFormat","Invalid email format",""
"passed","Mon Nov 24 17:20:46 UTC 2025","Mon Nov 24 17:20:53 UTC 2025","6921","","Account Details Tests","","tests.accountDetails.ProfileTests","emptyEmail","Empty Email Field",""
"passed","Mon Nov 24 17:31:34 UTC 2025","Mon Nov 24 17:31:45 UTC 2025","11236","","Shopping Bag Tests","","tests.shoppingBag.ShoppingBagTests","addItemAndVerifyQuantityInShoppingBag","Adding same product increases quantity",""
"passed","Mon Nov 24 17:26:37 UTC 2025","Mon Nov 24 17:26:50 UTC 2025","12490","","Purchase Function Tests","","tests.purchaseFunction.PurchaseFunctionLoggedOutUserTests","validateEachRequiredField","Validate required field and its alert message [1] //input[@name='billing_email'], Rechnung: E-Mail-Adresse ist ein Pflichtfeld.",""
"passed","Mon Nov 24 17:25:00 UTC 2025","Mon Nov 24 17:25:17 UTC 2025","17540","","Purchase Function Tests","","tests.purchaseFunction.PurchaseFunctionLoggedOutUserTests","verifyOrderDetails","Verify order details on Order Confirmation Page",""
"passed","Mon Nov 24 17:23:25 UTC 2025","Mon Nov 24 17:23:35 UTC 2025","10028","","Check change password functionality","","tests.changePassword.ChangePasswordTests","changePasswordSuccessful","Successful changing of user password",""
"passed","Mon Nov 24 17:22:41 UTC 2025","Mon Nov 24 17:22:51 UTC 2025","9989","","Logout Tests","","tests.logout.LogoutTests","logoutFromAccountPage_showsLoginForm","Logout from account page shows login/register form",""
"passed","Mon Nov 24 17:37:53 UTC 2025","Mon Nov 24 17:38:06 UTC 2025","12705","","Wishlist tests (Logged-in)","","tests.wishlist.WishlistLoggedInTests","openWishlistByClickingAgain","Logged-in: Clicking wishlist icon again opens Wishlist with product present",""
"passed","Mon Nov 24 17:22:04 UTC 2025","Mon Nov 24 17:22:11 UTC 2025","7606","","Account Details Tests","","tests.accountDetails.ProfileTests","allFieldsEmpty","All fields empty",""
"passed","Mon Nov 24 17:40:00 UTC 2025","Mon Nov 24 17:40:09 UTC 2025","8758","","Display of 'no results' message when no products found","","tests.search.SearchNoResultsTests","guest_no_results_message","Guest user: no results message appears for invalid query",""
"passed","Mon Nov 24 17:20:30 UTC 2025","Mon Nov 24 17:20:38 UTC 2025","7791","","Account Details Tests","","tests.accountDetails.ProfileTests","emptyDisplayName","Empty Display Name Field",""
"passed","Mon Nov 24 17:21:01 UTC 2025","Mon Nov 24 17:21:09 UTC 2025","8078","","Account Details Tests","","tests.accountDetails.ProfileTests","charsInDisplayName","Special characters in Display Name",""
"passed","Mon Nov 24 17:38:18 UTC 2025","Mon Nov 24 17:38:27 UTC 2025","8859","","Open correct PDP from search results","","tests.search.SearchPdpNavigationTests","guest_click_opens_correct_pdp","Guest user: first search result opens correct PDP",""
"passed","Mon Nov 24 17:29:54 UTC 2025","Mon Nov 24 17:30:17 UTC 2025","22788","","Purchase Function Tests","","tests.purchaseFunction.PurchaseFunctionLoggedInUserTests","verifyFinalTotalAmount","Final total displayed correctly on checkout page",""
"passed","Mon Nov 24 17:40:42 UTC 2025","Mon Nov 24 17:40:50 UTC 2025","7405","","Footer tests","","tests.footer.FooterTests","verifyLinkNavigationAndBack","ZIYAD-T61 & T62: Verify link navigation and Back button",""
"passed","Mon Nov 24 17:35:53 UTC 2025","Mon Nov 24 17:35:56 UTC 2025","3557","","Login Tests","","tests.login.LoginTests","passwordVisibilityToggle_works","Password visibility toggle switches between masked and visible",""
"passed","Mon Nov 24 17:23:35 UTC 2025","Mon Nov 24 17:24:02 UTC 2025","26292","","Language selector is visible in header on main user flows (AC1)","","tests.language.LanguageSelectorVisibilityTests","languageSelectorVisibleOnMainFlowsAc1","Guest: language selector is visible on main pages & flows",""
"passed","Mon Nov 24 17:35:26 UTC 2025","Mon Nov 24 17:35:34 UTC 2025","8775","","Shopping Bag Tests","","tests.shoppingBag.ShoppingBagTests","addItemToShoppingBag","Add item to shopping bag",""
"passed","Mon Nov 24 17:32:22 UTC 2025","Mon Nov 24 17:32:33 UTC 2025","10678","","Shopping Bag Tests","","tests.shoppingBag.ShoppingBagTests","addItemToShoppingBagAndVerifyItemsCount","Shopping cart icon shows correct item count",""
"passed","Mon Nov 24 17:36:19 UTC 2025","Mon Nov 24 17:36:24 UTC 2025","5175","","Login Tests","","tests.login.LoginTests","loginSuccess","Successful login with valid credentials",""
"passed","Mon Nov 24 17:32:33 UTC 2025","Mon Nov 24 17:33:24 UTC 2025","51677","","Shopping Bag Tests","","tests.shoppingBag.ShoppingBagTests","verifyPricesInProductAndInShoppingBag","Price check",""
"passed","Mon Nov 24 17:35:19 UTC 2025","Mon Nov 24 17:35:26 UTC 2025","6899","","Shopping Bag Tests","","tests.shoppingBag.ShoppingBagTests","verifyNewUserSeesEmptyCart","New user sees empty cart",""
"passed","Mon Nov 24 17:22:26 UTC 2025","Mon Nov 24 17:22:33 UTC 2025","7573","","Account Details Tests","","tests.accountDetails.ProfileTests","validLastName","Valid Last Name",""
"passed","Mon Nov 24 17:27:53 UTC 2025","Mon Nov 24 17:28:06 UTC 2025","12965","","Purchase Function Tests","","tests.purchaseFunction.PurchaseFunctionLoggedOutUserTests","validateEachRequiredField","Validate required field and its alert message [7] //input[@name='billing_phone'], Rechnung: Telefon ist ein Pflichtfeld.",""
